Periodo;AbreviaEmpresa;IdInterrupcion;NroInterrupcion;UUNN;EE;TipoMed;NaturalezaInterrupcion;ResponsabilidadInterrupcion;ResponsableInterrupcion;PropiedadDeLaInstCausante;CausaInterrupcion;SolicitoFM;IniciaTramiteFM;EstadoFM;Motivo;TipoProgramada;ClasificacionMotivo;Submotivo;SaidiUUNN;Cumple;Fecha
201901;ENOSA;2192767;120024973;Alto Piura;I140198;Seccion de Linea o Alimentador;Programado,Expansion O Reforzamiento;Distribucion;Propia;Propia;Por Expansion o reforzamiento de redes;0;0;Sin Tramite;Interrupcion por Expansion y Reforzamiento;Programada por expansion;Interno;Incremento de la Capacidad del conductor;0.001309072;0;31/01/2019
201901;ENOSA;2194999;150066109;Sullana;I151081;Seccion de Linea o Alimentador;Programado,Expansion O Reforzamiento;Distribucion;Propia;Propia;Por Expansion o reforzamiento de redes;0;0;Sin Tramite;Interrupcion por Expansion y Reforzamiento;Programada por expansion;Interno;Expansion de redes;0.00006816;0;31/01/2019
201901;ENOSA;2195043;150066112;Sullana;A1942  ;Alimentador Media Tension;Programado,Expansion O Reforzamiento;Distribucion;Propia;Propia;Por Expansion o reforzamiento de redes;0;0;Sin Tramite;Interrupcion por Expansion y Reforzamiento;Programada por expansion;Interno;Expansion de redes;0.008860792;0;31/01/2019
201901;ENOSA;2207264;10191406;Piura;I100147;Seccion de Linea o Alimentador;No Programado, Accion De Terceros;Distribucion;Terceros;Propia;Cometas;1;1;No Procede;Otros y/o terceros;NULL;Interno;Objetos en redes (Cometas, cintas, etc);0.010123656;0;31/01/2019
201901;ENOSA;2207358;10191407;Piura;I100649;Seccion de Linea o Alimentador;No Programado, Falla;Distribucion;Propia;Propia;Contacto entre conductores;0;0;Sin Tramite;Falla;NULL;Interno;Contacto entre conductores;0.022959249;0;31/01/2019
201901;ENOSA;2207428;30072478;Tumbes;A1052  ;Alimentador Media Tension;No Programado, Falla;Distribucion;Propia;Propia;Contacto entre conductores;0;0;Sin Tramite;Falla;NULL;Interno;Cortocircuito;0.030018138;0;31/01/2019
201901;ENOSA;2207455;30072479;Tumbes;I120157;Seccion de Linea o Alimentador;No Programado, Falla;Distribucion;Propia;Propia;Bajo nivel de aislamiento (Aislado roto / Tension inadecuada);0;0;Sin Tramite;Falla;NULL;Interno;Bajo nivel de aislamiento ( Elemento Electrico mal dimensionado);0.001120541;0;31/01/2019
201901;ENOSA;2208176;180044116;Paita;I160109;Seccion de Linea o Alimentador;No Programado, Falla;Distribucion;Propia;Propia;Otros, por falla en componentes del SP;0;0;Sin Tramite;Falla;NULL;Interno;No identificado;0.089874707;0;31/01/2019
201901;ENOSA;2208629;120025078;Alto Piura;A1402  ;Alimentador Media Tension;No Programado, Falla;Distribucion;Propia;Propia;Otros, por falla en componentes del SP;0;0;Sin Tramite;Falla;NULL;Interno;No identificado;0.001000447;0;31/01/2019
201901;ENOSA;2208821;150066819;Sullana;I150852;Seccion de Linea o Alimentador;No Programado, Falla;Distribucion;Propia;Propia;Otros, por falla en componentes del SP;0;0;Sin Tramite;Falla;NULL;Interno;No identificado;0.00196968;0;31/01/2019
201901;ENOSA;2208881;150066821;Sullana;A1944  ;Alimentador Media Tension;No Programado, Accion De Terceros;Distribucion;Terceros;Propia;Otros, causados por terceros;1;1;No Procede;Otros y/o terceros;NULL;Interno;Otros;0.000036451;0;31/01/2019
201901;ENOSA;2208895;150066822;Sullana;A1525  ;Alimentador Media Tension;No Programado, Accion De Terceros;Distribucion;Terceros;Propia;Otros, causados por terceros;0;0;Sin Tramite;Otros y/o terceros;NULL;Interno;Otros;0.000002556;0;31/01/2019
201901;ENOSA;2208899;150066823;Sullana;A1016  ;Alimentador Media Tension;No Programado, Accion De Terceros;Distribucion;Terceros;Propia;Otros, causados por terceros;0;0;Sin Tramite;Otros y/o terceros;NULL;Interno;Otros;0.028823133;0;31/01/2019
201901;ENOSA;2208909;150066824;Sullana;I150807;Seccion de Linea o Alimentador;No Programado, Falla;Distribucion;Propia;Propia;Otros, por falla en componentes del SP;0;0;Sin Tramite;Falla;NULL;Interno;No identificado;0.002827498;0;31/01/2019
201901;ENOSA;2208920;150066825;Sullana;A1944  ;Alimentador Media Tension;No Programado, Accion De Terceros;Distribucion;Terceros;Propia;Otros, causados por terceros;1;1;No Procede;Otros y/o terceros;NULL;Interno;Otros;0.000046952;0;31/01/2019
201901;ENOSA;2209042;30072526;Tumbes;I120076;Seccion de Linea o Alimentador;No Programado, Falla;Distribucion;Propia;Propia;Contacto entre conductores;0;0;Sin Tramite;Falla;NULL;Interno;Cortocircuito;0.00345201;0;31/01/2019
201901;ENOSA;2210372;30072553;Tumbes;I120028;Seccion de Linea o Alimentador;No Programado, Falla;Distribucion;Propia;Propia;Otros, por falla en componentes del SP;0;0;Sin Tramite;Falla;NULL;Interno;No identificado;0.002046691;0;31/01/2019
201901;ENOSA;2211034;10191572;Piura;I100112;Seccion de Linea o Alimentador;Programado,Expansion O Reforzamiento;Distribucion;Propia;Propia;Por Expansion o reforzamiento de redes;1;1;Procede;Interrupcion por Expansion y Reforzamiento;Programada por expansion;Interno;Exonerado de comp. Exp. o Ref. redes Transmision;0.000222493;0;31/01/2019
201901;ENOSA;2211046;10191573;Piura;E101178;Subestacion de Distribucion;Programado,Expansion O Reforzamiento;Distribucion;Propia;Propia;Por Expansion o reforzamiento de redes;1;1;Procede;Interrupcion por Expansion y Reforzamiento;Programada por expansion;Interno;Exonerado de comp. Exp. o Ref. redes Transmision;0.007490581;0;31/01/2019
201901;ENOSA;2211342;10191574;Piura;E101438;Subestacion de Distribucion;No Programado, Falla;Distribucion;Propia;Propia;Otros, por falla en componentes del SP;0;0;Sin Tramite;Falla;NULL;Interno;Sobrecarga;0.000028553;0;31/01/2019
201901;ENOSA;2211610;10191575;Piura;A1128  ;Alimentador Media Tension;No Programado, Accion De Terceros;Distribucion;Terceros;Propia;Otros, causados por terceros;0;0;Sin Tramite;Falla;NULL;Interno;De unica responsabilidad del cliente;0.000007787;0;31/01/2019
201901;ENOSA;2211726;10191576;Piura;E102076;Subestacion de Distribucion;No Programado, Operacion;Distribucion;Propia;Propia;Corte de emergencia (No incluidos en PM y PE);0;0;Sin Tramite;Por maniobra sin aviso, corta;NULL;Interno;Seguridad;0.000332255;0;31/01/2019
201901;ENOSA;2211946;10191578;Piura;E101334;Subestacion de Distribucion;No Programado, Operacion;Distribucion;Propia;Propia;Corte de emergencia (No incluidos en PM y PE);0;0;Sin Tramite;Por maniobra sin aviso, corta;NULL;Interno;Seguridad;0.000089492;0;31/01/2019
201901;ENOSA;2212572;150066877;Sullana;I150807;Seccion de Linea o Alimentador;No Programado, Falla;Distribucion;Propia;Propia;Otros, por falla en componentes del SP;0;0;Sin Tramite;Falla;NULL;Interno;No identificado;0.003532955;0;31/01/2019
201901;ENOSA;2212589;150066878;Sullana;A1942  ;Alimentador Media Tension;No Programado, Operacion;Distribucion;Propia;Propia;Corte de emergencia (No incluidos en PM y PE);0;0;Sin Tramite;Por maniobra sin aviso, corta;NULL;Interno;Reparacion de Falso contacto/Punto caliente;0.000159366;0;31/01/2019
201901;ENOSA;2212603;150066879;Sullana;I151034;Seccion de Linea o Alimentador;No Programado, Falla;Distribucion;Propia;Propia;Otros, por falla en componentes del SP;0;0;Sin Tramite;Falla;NULL;Interno;No identificado;0.001105895;0;31/01/2019
