Probabilidad;Importancia;Regla
1;0.009543873;Naturaleza Interrupcion = No Programado, Operacion, Responsable Interrupcion = Terceros -> Cumple = False
1;0.006457444;Submotivo = Contacto accidental con linea, Causa Interrupcion = Contacto accidental con la linea -> Cumple = False
1;0.006457444;Submotivo = Contacto accidental con linea, Responsable Interrupcion = Terceros -> Cumple = False
1;0.006457444;Submotivo = Contacto accidental con linea, Naturaleza Interrupcion = No Programado, Accion De Terceros -> Cumple = False
1;0.006457444;Submotivo = Contacto accidental con linea, Motivo = Otros y/o terceros -> Cumple = False
1;0.005862129;Submotivo = Contacto accidental con linea, Responsabilidad Interrupcion = Distribucion -> Cumple = False
1;0.006457444;Submotivo = Contacto accidental con linea, Propiedad De La Inst Causante = Propia -> Cumple = False
1;0.006457444;Causa Interrupcion = Contacto accidental con la linea -> Cumple = False
1;0.006457444;Causa Interrupcion = Contacto accidental con la linea, Responsable Interrupcion = Terceros -> Cumple = False
1;0.006457444;Causa Interrupcion = Contacto accidental con la linea, Naturaleza Interrupcion = No Programado, Accion De Terceros -> Cumple = False
1;0.006457444;Causa Interrupcion = Contacto accidental con la linea, Motivo = Otros y/o terceros -> Cumple = False
1;0.005862129;Causa Interrupcion = Contacto accidental con la linea, Responsabilidad Interrupcion = Distribucion -> Cumple = False
1;0.006457444;Causa Interrupcion = Contacto accidental con la linea, Propiedad De La Inst Causante = Propia -> Cumple = False
1;0.013714677;Causa Interrupcion = Animales (Felinos y Roedores), Solicito FM = False -> Cumple = False
1;0.006457444;Causa Interrupcion = Caida conductor de red, Tipo Med = Subestacion de Distribucion -> Cumple = False
1;0.006457444;Submotivo = Linea abierta o caida, Tipo Med = Subestacion de Distribucion -> Cumple = False
1;0.014611887;Submotivo = Cambio de Tablero y/o  Transformador de Distribucion, Propiedad De La Inst Causante = Propia -> Cumple = False
1;0.014611887;Submotivo = Cambio de Tablero y/o  Transformador de Distribucion, Responsabilidad Interrupcion = Distribucion -> Cumple = False
1;0.014611887;Submotivo = Cambio de Tablero y/o  Transformador de Distribucion, Solicito FM = False -> Cumple = False
1;0.014611887;Submotivo = Cambio de Tablero y/o  Transformador de Distribucion, Responsable Interrupcion = Propia -> Cumple = False
1;0.014589682;Submotivo = Cambio de Tablero y/o  Transformador de Distribucion, Tipo Med = Subestacion de Distribucion -> Cumple = False
1;0.014611887;Submotivo = Cambio de Tablero y/o  Transformador de Distribucion, Causa Interrupcion = Por mantenimiento -> Cumple = False
1;0.014611887;Submotivo = Cambio de Tablero y/o  Transformador de Distribucion, Motivo = Mantenimiento preventivo -> Cumple = False
1;0.012540664;Causa Interrupcion = Animales (Felinos y Roedores), Tipo Med = Subestacion de Distribucion -> Cumple = False
1;0.013714677;Causa Interrupcion = Animales (Felinos y Roedores) -> Cumple = False
1;0.014611887;Submotivo = Cambio de Tablero y/o  Transformador de Distribucion, Naturaleza Interrupcion = Programado Mantenimiento -> Cumple = False
1;0.014611887;Submotivo = Cambio de Tablero y/o  Transformador de Distribucion -> Cumple = False
1;0.007146218;Submotivo = Descarga atmosferica -> Cumple = False
1;0.007146218;Submotivo = Descarga atmosferica, Causa Interrupcion = Descargas atmosfericas -> Cumple = False
1;0.007146218;Submotivo = Descarga atmosferica, Responsable Interrupcion = Fenomenos Naturales -> Cumple = False
1;0.007146218;Submotivo = Descarga atmosferica, Naturaleza Interrupcion = No Programado, Fenomenos Naturales -> Cumple = False
1;0.007146218;Submotivo = Descarga atmosferica, Motivo = Falla -> Cumple = False
1;0.007146218;Submotivo = Descarga atmosferica, Solicito FM = False -> Cumple = False
1;0.007146218;Submotivo = Descarga atmosferica, Responsabilidad Interrupcion = Distribucion -> Cumple = False
1;0.007146218;Submotivo = Descarga atmosferica, Propiedad De La Inst Causante = Propia -> Cumple = False
1;0.007146218;Causa Interrupcion = Descargas atmosfericas -> Cumple = False
1;0.007146218;Causa Interrupcion = Descargas atmosfericas, Responsable Interrupcion = Fenomenos Naturales -> Cumple = False
1;0.007146218;Causa Interrupcion = Descargas atmosfericas, Naturaleza Interrupcion = No Programado, Fenomenos Naturales -> Cumple = False
1;0.007146218;Causa Interrupcion = Descargas atmosfericas, Motivo = Falla -> Cumple = False
1;0.007146218;Causa Interrupcion = Descargas atmosfericas, Solicito FM = False -> Cumple = False
1;0.007146218;Causa Interrupcion = Descargas atmosfericas, Responsabilidad Interrupcion = Distribucion -> Cumple = False
1;0.007146218;Causa Interrupcion = Descargas atmosfericas, Propiedad De La Inst Causante = Propia -> Cumple = False
1;0.007598253;Submotivo = Cambio de estructuras y accesorios en riesgo -> Cumple = False
1;0.007598253;Submotivo = Cambio de estructuras y accesorios en riesgo, Causa Interrupcion = Corte de emergencia (No incluidos en PM y PE) -> Cumple = False
1;0.007598253;Submotivo = Cambio de estructuras y accesorios en riesgo, Motivo = Por maniobra sin aviso, corta -> Cumple = False
1;0.007598253;Submotivo = Cambio de estructuras y accesorios en riesgo, Naturaleza Interrupcion = No Programado, Operacion -> Cumple = False
1;0.007598253;Submotivo = Cambio de estructuras y accesorios en riesgo, Responsable Interrupcion = Propia -> Cumple = False
1;0.007598253;Submotivo = Cambio de estructuras y accesorios en riesgo, Solicito FM = False -> Cumple = False
1;0.007453045;Submotivo = Cambio de estructuras y accesorios en riesgo, Responsabilidad Interrupcion = Distribucion -> Cumple = False
1;0.007598253;Submotivo = Cambio de estructuras y accesorios en riesgo, Propiedad De La Inst Causante = Propia -> Cumple = False
1;0.007146218;Naturaleza Interrupcion = No Programado, Fenomenos Naturales, Motivo = Falla -> Cumple = False
1;0.010392696;Causa Interrupcion = Por Expansion o reforzamiento de redes, Tipo Med = Subestacion de Distribucion -> Cumple = False
1;0.010392696;Naturaleza Interrupcion = Programado,Expansion O Reforzamiento, Tipo Med = Subestacion de Distribucion -> Cumple = False
1;0.007146218;Responsable Interrupcion = Fenomenos Naturales, Motivo = Falla -> Cumple = False
1;0.010392696;Motivo = Interrupcion por Expansion y Reforzamiento, Tipo Med = Subestacion de Distribucion -> Cumple = False
1;0.011305434;Submotivo = Objetos en redes (Cometas, cintas, etc), Tipo Med = Seccion de Linea o Alimentador -> Cumple = False
1;0.005645998;Submotivo = Incremento de la Capacidad de Transformacion, Responsabilidad Interrupcion = Distribucion -> Cumple = False
1;0.015201656;Naturaleza Interrupcion = No Programado, Operacion, Tipo Med = Subestacion de Distribucion -> Cumple = False
1;0.014134816;Causa Interrupcion = Falla equipo (transformador,interruptor, seccionador de potencia etc), Tipo Med = Subestacion de Distribucion -> Cumple = False
1;0.013013917;Naturaleza Interrupcion = No Programado, Operacion, Tipo Med = Alimentador Media Tension -> Cumple = False
1;0.007873685;Causa Interrupcion = Contacto entre conductores, Tipo Med = Subestacion de Distribucion -> Cumple = False
1;0.013064504;Causa Interrupcion = Falla equipo (transformador,interruptor, seccionador de potencia etc), Tipo Med = Seccion de Linea o Alimentador -> Cumple = False
1;0.00848605;Naturaleza Interrupcion = No Programado, Operacion, Solicito FM = True -> Cumple = False
1;0.012813495;Submotivo = Cortocircuito -> Cumple = False
1;0.005862129;Responsabilidad Interrupcion = Transmision, Naturaleza Interrupcion = No Programado, Falla -> Cumple = False
1;0.009543873;Naturaleza Interrupcion = No Programado, Operacion, Motivo = Otros y/o terceros -> Cumple = False
1;0.008704765;Submotivo = Averia en tablero de distribucion -> Cumple = False
1;0.008704765;Submotivo = Averia en tablero de distribucion, Causa Interrupcion = Falla equipo (transformador,interruptor, seccionador de potencia etc) -> Cumple = False
1;0.008130818;Submotivo = Averia en tablero de distribucion, Tipo Med = Subestacion de Distribucion -> Cumple = False
1;0.008704765;Submotivo = Averia en tablero de distribucion, Naturaleza Interrupcion = No Programado, Falla -> Cumple = False
1;0.008704765;Submotivo = Averia en tablero de distribucion, Motivo = Falla -> Cumple = False
1;0.008704765;Submotivo = Averia en tablero de distribucion, Responsable Interrupcion = Propia -> Cumple = False
1;0.008704765;Submotivo = Averia en tablero de distribucion, Solicito FM = False -> Cumple = False
1;0.008704765;Submotivo = Averia en tablero de distribucion, Responsabilidad Interrupcion = Distribucion -> Cumple = False
1;0.008704765;Submotivo = Averia en tablero de distribucion, Propiedad De La Inst Causante = Propia -> Cumple = False
1;0.009855346;Responsabilidad Interrupcion = Transmision, Causa Interrupcion = Aves -> Cumple = False
1;0.009855346;Responsabilidad Interrupcion = Transmision, Submotivo = Aves -> Cumple = False
1;0.012813495;Submotivo = Cortocircuito, Motivo = Falla -> Cumple = False
1;0.012813495;Submotivo = Cortocircuito, Causa Interrupcion = Contacto entre conductores -> Cumple = False
1;0.015637432;Submotivo = Seguridad -> Cumple = False
1;0.015637432;Submotivo = Seguridad, Causa Interrupcion = Corte de emergencia (No incluidos en PM y PE) -> Cumple = False
1;0.013714677;Submotivo = Animales (Felinos y/o roedores), Propiedad De La Inst Causante = Propia -> Cumple = False
1;0.015637432;Submotivo = Seguridad, Motivo = Por maniobra sin aviso, corta -> Cumple = False
1;0.009543873;Causa Interrupcion = Pedido autoridad (Defensa Civil, Municipalidad, OSINERG etc) -> Cumple = False
1;0.009543873;Causa Interrupcion = Pedido autoridad (Defensa Civil, Municipalidad, OSINERG etc), Naturaleza Interrupcion = No Programado, Operacion -> Cumple = False
1;0.00848605;Causa Interrupcion = Pedido autoridad (Defensa Civil, Municipalidad, OSINERG etc), Solicito FM = True -> Cumple = False
1;0.009543873;Causa Interrupcion = Pedido autoridad (Defensa Civil, Municipalidad, OSINERG etc), Responsable Interrupcion = Terceros -> Cumple = False
1;0.009543873;Causa Interrupcion = Pedido autoridad (Defensa Civil, Municipalidad, OSINERG etc), Motivo = Otros y/o terceros -> Cumple = False
1;0.005862129;Causa Interrupcion = Pedido autoridad (Defensa Civil, Municipalidad, OSINERG etc), Tipo Med = Seccion de Linea o Alimentador -> Cumple = False
1;0.009543873;Causa Interrupcion = Pedido autoridad (Defensa Civil, Municipalidad, OSINERG etc), Responsabilidad Interrupcion = Distribucion -> Cumple = False
1;0.009543873;Causa Interrupcion = Pedido autoridad (Defensa Civil, Municipalidad, OSINERG etc), Propiedad De La Inst Causante = Propia -> Cumple = False
1;0.015637432;Submotivo = Seguridad, Naturaleza Interrupcion = No Programado, Operacion -> Cumple = False
1;0.014965772;Submotivo = Seguridad, Tipo Med = Subestacion de Distribucion -> Cumple = False
1;0.009104448;Submotivo = Seguridad, Tipo Med = Alimentador Media Tension -> Cumple = False
1;0.012017691;Submotivo = Seguridad, Tipo Med = Seccion de Linea o Alimentador -> Cumple = False
1;0.015637432;Submotivo = Seguridad, Responsable Interrupcion = Propia -> Cumple = False
1;0.006457444;Causa Interrupcion = Contacto de red con arbol, Tipo Med = Alimentador Media Tension -> Cumple = False
1;0.012190464;Responsable Interrupcion = Terceros, Motivo = Falla -> Cumple = False
1;0.006457444;Submotivo = Contacto de Red con arbol, Tipo Med = Alimentador Media Tension -> Cumple = False
1;0.012813495;Submotivo = Cortocircuito, Responsable Interrupcion = Propia -> Cumple = False
1;0.012813495;Submotivo = Cortocircuito, Solicito FM = False -> Cumple = False
1;0.005645998;Submotivo = Falla terminal cable, Tipo Med = Subestacion de Distribucion -> Cumple = False
1;0.012754308;Submotivo = Cortocircuito, Responsabilidad Interrupcion = Distribucion -> Cumple = False
1;0.011761013;Responsabilidad Interrupcion = Generacion, Solicito FM = False -> Cumple = False
1;0.011305434;Responsabilidad Interrupcion = Generacion, Motivo = Falla -> Cumple = False
1;0.01089112;Responsabilidad Interrupcion = Generacion, Naturaleza Interrupcion = No Programado, Accion De Terceros -> Cumple = False
1;0.009999575;Submotivo = Sobrecarga, Tipo Med = Subestacion de Distribucion -> Cumple = False
1;0.006983961;Responsabilidad Interrupcion = Generacion, Tipo Med = Alimentador Media Tension -> Cumple = False
1;0.012813495;Submotivo = Cortocircuito, Propiedad De La Inst Causante = Propia -> Cumple = False
1;0.011925224;Responsabilidad Interrupcion = Generacion, Responsable Interrupcion = Otras Empresas Electricas -> Cumple = False
1;0.019301151;Tipo Med = Subestacion de Distribucion, Propiedad De La Inst Causante = Propia -> Cumple = False
1;0.019301151;Tipo Med = Subestacion de Distribucion, Responsabilidad Interrupcion = Distribucion -> Cumple = False
1;0.019085204;Tipo Med = Subestacion de Distribucion, Solicito FM = False -> Cumple = False
1;0.018867673;Tipo Med = Subestacion de Distribucion, Responsable Interrupcion = Propia -> Cumple = False
1;0.016414606;Tipo Med = Subestacion de Distribucion, Motivo = Falla -> Cumple = False
1;0.016230561;Tipo Med = Subestacion de Distribucion, Naturaleza Interrupcion = No Programado, Falla -> Cumple = False
1;0.005862129;Submotivo = Reparacion de Falso contacto/Punto caliente, Tipo Med = Alimentador Media Tension -> Cumple = False
1;0.005645998;Causa Interrupcion = Falla terminal cable, Tipo Med = Subestacion de Distribucion -> Cumple = False
1;0.011925224;Submotivo = De unica responsabilidad del cliente, Responsable Interrupcion = Terceros -> Cumple = False
1;0.006639976;Tipo Med = Linea de Subtransmision, Submotivo = Aves -> Cumple = False
1;0.006639976;Tipo Med = Linea de Subtransmision, Causa Interrupcion = Aves -> Cumple = False
1;0.01182829;Submotivo = Averia en equipo de proteccion - Cut Out, Tipo Med = Seccion de Linea o Alimentador -> Cumple = False
1;0.006267294;Submotivo = Aves, Tipo Med = Subestacion de Distribucion -> Cumple = False
